tstamp,windspeed,temperature,solarflux,humidity,clearingprice
965068200,9.61883,60.262,0,0.8,0.14
965069100,9.47203,60.1664,0,0.80156,0.22
965070000,9.31125,60.0145,0,0.80375,0.14
965070900,9.13649,59.8064,0,0.80656,0.14
965071800,8.94775,59.542,0,0.81,0.14
965072700,8.68211,59.1201,0,0.81406,0.14
965073600,8.44443,58.7095,0,0.81875,0.14
965074500,8.23472,58.3101,0,0.82406,0.14
965075400,8.05297,57.922,0,0.83,0.14
965076300,7.9621,57.6126,0,0.83844,0.14
965077200,7.85724,57.2695,0,0.84625,0.14
965078100,7.7384,56.8926,0,0.85344,0.14
965079000,7.60558,56.482,0,0.86,0.14
965079900,7.33296,55.7507,0,0.865,0.14
965080800,7.13023,55.177,0,0.87,0.14
965081700,6.99742,54.7607,0,0.875,0.14
965082600,6.9345,54.502,0.2822,0.88,0.14
965083500,6.92052,54.4176,0.43954,0.8925,0.14
965084400,6.99043,54.4795,1.25758,0.9,0.12
965085300,7.14422,54.6876,2.7363,0.9025,0.12
965086200,7.38189,55.042,4.87572,0.9,0.12
965087100,8.1019,55.6439,8.43015,0.89531,0.12
965088000,8.64017,56.3245,12.1424,0.88375,0.12
965088900,8.99668,57.0839,16.0124,0.86531,0.12
965089800,9.17144,57.922,20.0403,0.84,0.12
965090700,8.78697,59.5307,25.9639,0.77875,0.12
965091600,8.4724,60.757,30.8866,0.73,0.12
965092500,8.22773,61.6007,34.8086,0.69375,0.12
965093400,8.05297,62.062,37.7297,0.67,0.12
965094300,7.94811,60.7401,36.8126,0.6925,0.12
965095200,7.91316,59.9695,36.7863,0.705,0.12
965096100,7.94811,59.7501,37.6508,0.7075,0.12
965097000,8.05297,60.082,39.4061,0.7,0.12
965097900,8.20676,62.5176,47.5089,0.65531,0.12
965098800,8.44443,64.4695,52.8647,0.61875,0.12
965099700,8.76599,65.9376,55.4736,0.59031,0.12
965100600,9.17144,66.922,55.3354,0.57,0.12
965101500,10.248,66.7982,45.8918,0.56625,0.12
965102400,11.0169,66.607,38.0735,0.565,0.12
965103300,11.4783,66.3482,31.8806,0.56625,0.12
965104200,11.6321,66.022,27.3131,0.57,0.12
965105100,11.1008,65.257,26.5752,0.58563,0.12
965106000,10.5136,64.672,25.9932,0.5975,0.12
965106900,9.87048,64.267,25.567,0.60563,0.12
965107800,9.17144,64.042,25.2967,0.61,0.12
965108700,7.59859,63.9632,24.1086,0.61063,0.12
965109600,6.51508,64.087,23.7922,0.6075,0.12
965110500,5.92089,64.4132,24.3474,0.60063,0.12
965111400,5.81603,64.942,25.7742,0.59,0.12
965112300,7.2281,66.2807,27.8397,0.56719,0.12
965113200,8.44443,67.417,30.9322,0.54625,0.12
965114100,9.46504,68.3507,35.0517,0.52719,0.12
965115000,10.2899,69.082,40.1983,0.51,0.12
965115900,10.8771,69.3914,52.3055,0.49281,0.12
965116800,11.2965,69.6445,61.484,0.47875,0.12
965117700,11.5482,69.8414,67.7339,0.46781,0.12
965118600,11.6321,69.982,71.0552,0.46,0.12
965119500,10.4157,70.3532,67.3918,0.44781,0.12
965120400,9.7866,70.477,63.5038,0.44375,0.12
965121300,9.74465,70.3532,59.3911,0.44781,0.12
965122200,10.2899,69.982,55.0537,0.46,0.12
965123100,13.5824,68.9076,50.0369,0.50094,0.12
965124000,16.0221,67.8895,45.0985,0.53625,0.12
965124900,17.6089,66.9276,40.2387,0.56594,0.12
965125800,18.3429,66.022,35.4573,0.59,0.12
965126700,16.7561,65.0545,30.329,0.6,0.12
965127600,15.2951,64.222,25.5629,0.61,0.1308
965128500,13.9599,63.5245,21.159,0.62,0.1307
965129400,12.7505,62.962,17.1171,0.63,0.14
965130300,11.7299,62.8382,13.1373,0.64094,0.14
965131200,10.7932,62.647,9.71977,0.65125,0.14
965132100,9.94039,62.3882,6.86448,0.66094,0.14
965133000,9.17144,62.062,4.57144,0.67,0.14
965133900,8.50735,61.3814,3.44711,0.68031,0.14
965134800,7.91316,60.8245,2.48074,0.68875,0.14
965135700,7.38888,60.3914,1.67235,0.69531,0.14
965136600,6.9345,60.082,1.02193,0.7,0.14
965137500,6.55003,60.082,0.67064,0.7,0.14
965138400,6.23546,60.082,0.38323,0.7,0.14
965139300,5.9908,60.082,0.15968,0.7,0.14
965140200,5.81603,60.082,0,0.7,0.14
965141100,6.04672,60.082,0,0.7,0.14
965142000,6.12361,60.082,0,0.7,0.14
965142900,6.04672,60.082,0,0.7,0.14
965143800,5.81603,60.082,0,0.7,0.14
965144700,4.84437,60.1832,0,0.69813,0.14
965145600,4.11037,60.217,0,0.6975,0.16
965146500,3.61405,60.1832,0,0.69813,0.3
965147400,3.3554,60.082,0,0.7,0.3
965148300,3.5022,59.8964,0,0.70125,0.3
965149200,3.77483,59.6545,0,0.705,0.3
965150100,4.17328,59.3564,0,0.71125,0.3
965151000,4.69757,59.002,0,0.72,0.3
965151900,6.29138,58.507,0,0.73594,0.3
965152800,7.38189,58.012,0,0.75125,0.14
965153700,7.96909,57.517,0,0.76594,0.14
965154600,8.05297,57.022,0,0.78,0.14
965155500,6.31235,56.4426,0,0.79063,0.14
965156400,4.94922,55.9195,0,0.8025,0.14
965157300,3.96357,55.4526,0,0.81563,0.16
965158200,3.3554,55.042,0,0.83,0.3
965159100,3.71192,54.5695,0,0.85688,0.3
965160000,4.05445,54.232,0,0.8775,0.3
965160900,4.383,54.0295,0,0.89188,0.3
965161800,4.69757,53.962,0,0.9,0.3
965162700,4.87233,54.7045,0,0.88406,0.3
965163600,5.11699,55.132,0,0.87375,0.3
965164500,5.43156,55.2445,0,0.86906,0.16
965165400,5.81603,55.042,0,0.87,0.16
965166300,6.68984,53.4107,0,0.89719,0.16
965167200,7.35393,52.207,0,0.91625,0.14
965168100,7.80831,51.4307,0,0.92719,0.14
965169000,8.05297,51.082,0.28156,0.93,0.14
965169900,7.77335,51.7007,1.41423,0.91625,0.14
965170800,7.49374,52.387,2.92423,0.9,0.14
965171700,7.21412,53.1407,4.81156,0.88125,0.14
965172600,6.9345,53.962,7.07621,0.86,0.14
965173500,6.1306,55.0364,9.88034,0.82969,0.14
965174400,5.67623,56.0545,12.9537,0.80125,0.14
965175300,5.57137,57.0164,16.2963,0.77469,0.12
965176200,5.81603,57.922,19.9081,0.75,0.12
965177100,7.6685,58.7882,25.0992,0.72625,0.12
965178000,9.03163,59.587,29.6861,0.705,0.12
965178900,9.90543,60.3182,33.669,0.68625,0.12
965179800,10.2899,60.982,37.0478,0.67,0.12
965180700,8.92677,61.5614,40.4261,0.65625,0.12
965181600,7.91316,62.0845,42.7979,0.645,0.12
965182500,7.24907,62.5514,44.1632,0.63625,0.12
965183400,6.9345,62.962,44.522,0.63,0.12
965184300,7.26305,63.0632,41.8795,0.63938,0.12
965185200,7.74539,63.277,39.5604,0.6425,0.12
965186100,8.38152,63.6032,37.5648,0.63938,0.12
965187000,9.17144,64.042,35.8926,0.63,0.12
965187900,10.7862,64.9307,33.8214,0.59563,0.12
965188800,12.1074,65.707,32.5553,0.5675,0.12
965189700,13.135,66.3707,32.0944,0.54563,0.1378
965190600,13.869,66.922,32.4386,0.53,0.14
965191500,13.7641,67.1076,34.3002,0.53375,0.14
965192400,13.7292,67.3495,36.4921,0.535,0.14
965193300,13.7641,67.6476,39.0144,0.53375,0.1357
965194200,13.869,68.002,41.867,0.53,0.12
965195100,14.1486,68.767,47.9734,0.5125,0.12
965196000,14.4282,69.352,52.4612,0.5,0.12
965196900,14.7079,69.757,55.3305,0.4925,0.12
965197800,14.9875,69.982,56.5812,0.49,0.12
965198700,15.6865,69.6726,54.3008,0.50375,0.12
965199600,16.1059,69.4195,51.6769,0.515,0.12
965200500,16.2457,69.2226,48.7094,0.52375,0.12
965201400,16.1059,69.082,45.3983,0.53,0.12
965202300,14.8477,69.1832,40.0476,0.52625,0.1336
965203200,13.869,69.217,35.4841,0.525,0.14
965204100,13.17,69.1832,31.7078,0.52625,0.14
965205000,12.7505,69.082,28.7187,0.53,0.14
965205900,13.2399,68.812,27.8748,0.54188,0.14
965206800,13.5894,68.542,26.9128,0.5525,0.14
965207700,13.7991,68.272,25.8328,0.56188,0.14
965208600,13.869,68.002,24.6346,0.57,0.14
965209500,13.8201,67.7151,23.7534,0.57313,0.14
965210400,13.6173,67.4395,22.464,0.5775,0.14
965211300,13.2608,67.1751,20.7665,0.58313,0.14
965212200,12.7505,66.922,18.6608,0.59,0.14
965213100,11.1847,66.7982,14.7209,0.59719,0.14
965214000,10.0662,66.607,11.3236,0.60625,0.14
965214900,9.39513,66.3482,8.46873,0.61719,0.14
965215800,9.17144,66.022,6.15635,0.63,0.14
965216700,10.2969,65.4426,4.99927,0.65125,0.14
965217600,11.2686,64.9195,3.97614,0.67,0.14
965218500,12.0864,64.4526,3.08696,0.68625,0.14
965219400,12.7505,64.042,2.33173,0.7,0.14
965220300,13.6803,63.7551,1.81472,0.70563,0.14
965221200,14.1766,63.4795,1.36214,0.7125,0.14
965222100,14.2395,63.2151,0.97401,0.72063,0.14
965223000,13.869,62.962,0.65032,0.73,0.14
965223900,11.66,62.7539,0.42677,0.74438,0.14
965224800,9.95437,62.5345,0.24387,0.7575,0.14
965225700,8.75201,62.3039,0.10161,0.76938,0.14
965226600,8.05297,62.062,0,0.78,0.14
965227500,9.24134,61.6907,0,0.79031,0.14
965228400,10.0103,61.387,0,0.79875,0.14
965229300,10.3598,61.1507,0,0.80531,0.14
965230200,10.2899,60.982,0,0.81,0.14
965231100,8.64716,60.982,0,0.81,0.14
965232000,7.35393,60.982,0,0.81,0.14
965232900,6.41022,60.982,0,0.81,0.14
965233800,5.81603,60.982,0,0.81,0.14
965234700,6.20051,61.0664,0,0.80719,0.1555
965235600,6.51508,61.0945,0,0.80625,0.1514
965236500,6.75974,61.0664,0,0.80719,0.14
965237400,6.9345,60.982,0,0.81,0.14
965238300,6.9345,60.6726,0,0.82313,0.14
965239200,6.9345,60.4195,0,0.8325,0.14
965240100,6.9345,60.2226,0,0.83813,0.14
965241000,6.9345,60.082,0,0.84,0.14
965241900,7.14422,60.1832,0,0.82688,0.14
965242800,7.21412,60.217,0,0.8175,0.14
965243700,7.14422,60.1832,0,0.81188,0.14
965244600,6.9345,60.082,0,0.81,0.14
965245500,6.16556,59.7107,0,0.82031,0.14
965246400,5.53642,59.407,0,0.82875,0.14
965247300,5.04709,59.1707,0,0.83531,0.16
965248200,4.69757,59.002,0,0.84,0.16
965249100,4.69757,59.1032,0,0.83438,0.3
965250000,4.69757,59.137,0,0.8325,0.3
965250900,4.69757,59.1032,0,0.83438,0.3
965251800,4.69757,59.002,0,0.84,0.3
965252700,4.48785,58.5295,0,0.86063,0.3
965253600,4.41795,58.192,0,0.8775,0.3
965254500,4.48785,57.9895,0.05124,0.89063,0.3
965255400,4.69757,57.922,0.28092,0.9,0.3
965256300,5.67623,58.192,0.55854,0.90281,0.3
965257200,6.37527,58.462,0.98136,0.90375,0.16
965258100,6.79469,58.732,1.54937,0.90281,0.14
965259000,6.9345,59.002,2.26258,0.9,0.14
965259900,5.95584,59.2889,3.35194,0.8925,0.14
965260800,5.2568,59.5645,4.43253,0.885,0.14
965261700,4.83737,59.8289,5.50433,0.8775,0.16
965262600,4.69757,60.082,6.56735,0.87,0.16
965263500,6.11662,60.2057,7.27226,0.86531,0.16
965264400,6.96246,60.397,8.20128,0.85875,0.14
965265300,7.23509,60.6557,9.3544,0.85031,0.14
965266200,6.9345,60.982,10.7316,0.84,0.14
965267100,4.00551,61.477,12.4122,0.82688,0.14
965268000,1.87343,61.972,14.2641,0.8125,0.3
965268900,0.53826,62.467,16.2872,0.79688,0.3
965269800,0,62.962,18.4817,0.78,0.3
965270700,1.89441,63.2545,19.0698,0.76281,0.3
965271600,3.49521,63.682,21.0143,0.74375,0.3
965272500,4.80242,64.2445,24.3152,0.72281,0.3
965273400,5.81603,64.942,28.9724,0.7,0.14
965274300,6.20051,66.4664,41.3901,0.66031,0.14
965275200,6.51508,67.6645,50.8947,0.62875,0.12
965276100,6.75974,68.5364,57.4861,0.60531,0.12
965277000,6.9345,69.082,61.1645,0.59,0.12
965277900,7.03936,68.5251,56.1235,0.59875,0.12
965278800,7.07431,68.1595,52.0402,0.605,0.12
965279700,7.03936,67.9851,48.9145,0.60875,0.12
965280600,6.9345,68.002,46.7465,0.61,0.12
965281500,6.55003,68.5814,46.9478,0.60875,0.12
965282400,6.23546,69.1045,47.1656,0.605,0.12
965283300,5.9908,69.5714,47.3998,0.59875,0.12
965284200,5.81603,69.982,47.6505,0.59,0.12
965285100,5.71118,70.3532,50.0856,0.5675,0.12
965286000,5.67623,70.657,51.0918,0.55,0.12
965286900,5.71118,70.8932,50.6691,0.5375,0.12
965287800,5.81603,71.062,48.8174,0.53,0.12
965288700,5.9908,70.8764,39.5704,0.54156,0.12
965289600,6.23546,70.8145,32.8721,0.54875,0.14
965290500,6.55003,70.8764,28.7225,0.55156,0.14
965291400,6.9345,71.062,27.1216,0.55,0.14
965292300,7.80831,71.9282,36.218,0.53,0.14
965293200,8.4724,72.547,42.4307,0.515,0.14
965294100,8.92677,72.9182,45.7598,0.505,0.14
965295000,9.17144,73.042,46.2051,0.5,0.14
965295900,8.68211,72.3614,37.4702,0.51219,0.14
965296800,8.33259,71.8045,30.0493,0.52125,0.14
965297700,8.12287,71.3714,23.9424,0.52719,0.14
965298600,8.05297,71.062,19.1495,0.53,0.14
965299500,8.33259,71.2476,17.8168,0.5175,0.14
965300400,8.6122,71.3095,16.3674,0.51,0.14
965301300,8.89182,71.2476,14.8013,0.5075,0.14
965302200,9.17144,71.062,13.1184,0.51,0.14
965303100,9.66077,70.4826,10.8231,0.52688,0.14
965304000,10.0103,69.9595,8.74167,0.5425,0.14
965304900,10.22,69.4926,6.87403,0.55688,0.14
965305800,10.2899,69.082,5.22021,0.57,0.14
965306700,10.1151,68.9976,3.75092,0.57531,0.14
965307600,9.87048,68.7895,2.515,0.58375,0.14
965308500,9.55591,68.4576,1.51243,0.59531,0.14
965309400,9.17144,68.002,0.74322,0.61,0.16
965310300,8.19278,66.9501,0.48774,0.64094,0.16
965311200,7.49374,66.0895,0.27871,0.66625,0.16
965312100,7.07431,65.4201,0.11613,0.68594,0.16
965313000,6.9345,64.942,0,0.7,0.16
965313900,7.70345,64.942,0,0.69719,0.16
965314800,8.33259,64.942,0,0.69625,0.1562
965315700,8.82192,64.942,0,0.69719,0.14
965316600,9.17144,64.942,0,0.7,0.14
965317500,9.17144,65.0264,0,0.70844,0.14
965318400,9.17144,65.0545,0,0.71625,0.14
965319300,9.17144,65.0264,0,0.72344,0.14
965320200,9.17144,64.942,0,0.73,0.14
965321100,8.94075,64.7339,0,0.73688,0.14
965322000,8.86386,64.5145,0,0.7425,0.14
965322900,8.94075,64.2839,0,0.74688,0.14
965323800,9.17144,64.042,0,0.75,0.14
965324700,10.3528,63.7551,0,0.74719,0.14
965325600,11.1567,63.4795,0,0.74625,0.14
965326500,11.5831,63.2151,0,0.74719,0.14
965327400,11.6321,62.962,0,0.75,0.14
965328300,10.2969,62.8382,0,0.7575,0.14
965329200,9.25532,62.647,0,0.765,0.14
965330100,8.50735,62.3882,0,0.7725,0.14
965331000,8.05297,62.062,0,0.78,0.14
965331900,8.64716,61.5839,0,0.78469,0.14
965332800,9.03163,61.0945,0,0.79125,0.14
965333700,9.20639,60.5939,0,0.79969,0.14
965334600,9.17144,60.082,0,0.81,0.14
965335500,8.40249,59.4239,0,0.82781,0.14
965336400,7.77335,58.8445,0,0.84375,0.14
965337300,7.28402,58.3439,0,0.85781,0.14
965338200,6.9345,57.922,0,0.87,0.14
965339100,6.9345,57.5282,0,0.88031,0.14
965340000,6.9345,57.247,0,0.88875,0.14
965340900,6.9345,57.0782,0,0.89531,0.14
965341800,6.9345,57.022,0.28105,0.9,0.14
965342700,6.9345,57.3314,0.71955,0.9,0.14
965343600,6.9345,57.5845,1.41129,0.9,0.14
965344500,6.9345,57.7814,2.35626,0.9,0.14
965345400,6.9345,57.922,3.55446,0.9,0.14
965346300,6.9345,57.8207,5.17177,0.90281,0.14
965347200,6.9345,57.787,6.93173,0.90375,0.14
965348100,6.9345,57.8207,8.83432,0.90281,0.14
965349000,6.9345,57.922,10.8795,0.9,0.14
965349900,6.9345,57.7364,12.7192,0.90281,0.14
965350800,6.9345,57.8545,14.9336,0.89875,0.14
965351700,6.9345,58.2764,17.5228,0.88781,0.14
965352600,6.9345,59.002,20.4868,0.87,0.14
965353500,6.49411,61.0439,23.4631,0.82188,0.14
965354400,6.34731,62.7145,27.0558,0.7825,0.14
965355300,6.49411,64.0139,31.2651,0.75188,0.14
965356200,6.9345,64.942,36.0909,0.73,0.12
965357100,8.67512,64.8407,43.6445,0.73281,0.12
965358000,10.0383,64.807,50.407,0.73375,0.12
965358900,11.0239,64.8407,56.3787,0.73281,0.12
965359800,11.6321,64.942,61.5593,0.73,0.12
965360700,11.4853,65.0264,65.1995,0.72625,0.12
965361600,11.2126,65.2345,68.5484,0.72,0.12
965362500,10.8142,65.5664,71.6061,0.71125,0.12
965363400,10.2899,66.022,74.3725,0.7,0.12
965364300,9.24134,66.7026,77.3227,0.68344,0.12
965365200,8.33259,67.4395,79.665,0.66625,0.12
965366100,7.56364,68.2326,81.3994,0.64844,0.12
965367000,6.9345,69.082,82.5257,0.63,0.12
965367900,6.1306,70.3589,82.4131,0.60344,0.12
965368800,5.67623,71.4445,82.1133,0.58125,0.12
965369700,5.57137,72.3389,81.6261,0.56344,0.12
965370600,5.81603,73.042,80.9517,0.55,0.12
965371500,7.45878,73.0645,80.2969,0.55688,0.12
965372400,8.75201,73.222,79.3169,0.5575,0.12
965373300,9.69572,73.5145,78.0118,0.55188,0.12
965374200,10.2899,73.942,76.3816,0.54,0.12
965375100,9.67475,74.9939,74.4647,0.50313,0.12
965376000,9.28329,75.8545,72.197,0.4725,0.12
965376900,9.11552,76.5239,69.5786,0.44813,0.12
965377800,9.17144,77.002,66.6095,0.43,0.12
965378700,10.0173,77.1032,62.7621,0.42188,0.12
965379600,10.7093,77.137,58.9157,0.4175,0.12
965380500,11.2476,77.1032,55.0704,0.41688,0.12
965381400,11.6321,77.002,51.226,0.42,0.12
965382300,11.7579,76.6307,47.4238,0.44094,0.12
965383200,11.7998,76.327,43.5952,0.45625,0.12
965384100,11.7579,76.0907,39.7403,0.46594,0.12
965385000,11.6321,75.922,35.859,0.47,0.12
965385900,11.1707,76.192,31.7197,0.45438,0.1279
965386800,10.7932,76.282,27.7085,0.4425,0.1255
965387700,10.4996,76.192,23.8254,0.43438,0.1343
965388600,10.2899,75.922,20.0704,0.43,0.1313
965389500,10.2899,75.4045,15.8543,0.4275,0.1341
965390400,10.2899,74.752,12.1591,0.43,0.1341
965391300,10.2899,73.9645,8.9849,0.4375,0.134
965392200,10.2899,73.042,6.33173,0.45,0.1273
965393100,10.3948,71.5964,4.56165,0.475,0.1357
965394000,10.4297,70.2745,3.07117,0.5,0.1345
965394900,10.3948,69.0764,1.8603,0.525,0.1373
965395800,10.2899,68.002,0.92903,0.55,0.1382
965396700,9.80058,66.9501,0.60968,0.58156,0.1385
965397600,9.45106,66.0895,0.34839,0.60875,0.1386
965398500,9.24134,65.4201,0.14516,0.63156,0.14
965399400,9.17144,64.942,0,0.65,0.14
965400300,9.43008,64.942,0,0.65844,0.14
965401200,9.70271,64.942,0,0.66625,0.14
965402100,9.98932,64.942,0,0.67344,0.14
965403000,10.2899,64.942,0,0.68,0.14
965403900,10.5416,65.1276,0,0.68406,0.14
965404800,10.8491,65.1895,0,0.68875,0.14
965405700,11.2126,65.1276,0,0.69406,0.14
965406600,11.6321,64.942,0,0.7,0.14
965407500,12.9463,64.3457,0,0.70844,0.14
965408400,13.7572,63.817,0,0.71625,0.14
965409300,14.0647,63.3557,0,0.72344,0.14
965410200,13.869,62.962,0,0.73,0.14
965411100,11.8697,62.8382,0,0.73125,0.14
965412000,10.234,62.647,0,0.735,0.14
965412900,8.96173,62.3882,0,0.74125,0.14
965413800,8.05297,62.062,0,0.75,0.14
